,art_id,art_content,art_comment,art_date_grabbed
0,76,"The Democratic Unionist party cannot be allowed to veto any Brexit deal on the Irish border, Ireland’s deputy prime minister has said.  Simon Coveney spoke out after Theresa May disclosed that she was considering the option of giving the Northern Ireland devolved government a veto on any proposed regulatory barrier between itself and the rest of the UK.  The Sun reported on Saturday that the prime minister was pushing for an alternative set of regulatory arrangements for Northern Ireland, but that this was being blocked by the DUP , which is propping up her government. Coveney said: “We cannot allow one party in Northern Ireland to veto any proposals.”  He told RTÉ’s Marian Finucane radio show: “The British government has a confidence and supply arrangement with the DUP, but we don’t have a confidence and supply agreement with any one party in Northern Ireland .”  Speculation is growing that the EU and the British government are working on a “backstop to a backstop” to resolve the impasse in Brexit negotiations over the Irish border.  On Friday, May revealed she would be setting out the UK’s alternative, which would involve an element of decision-making power being wielded by Belfast.  “It will be in line with the commitments we made back in December – including the commitment that no new regulatory barriers should be created between Northern Ireland and the rest of the UK unless the Northern Ireland executive and assembly agree,” she said in her statement .  The assembly has not been functioning since power-sharing collapsed in Northern Ireland almost two years ago because of a dispute between the DUP and Sinn Féin. It is highly unlikely that Stormont will be restored to full operation before a Brexit deal is sealed.  May rejected the EU’s proposed wording for the backstop proposal in February because it would require the region to stay in the EU system even if the UK crashed out with no deal.  Coveney told RTÉ there was “no question of a border down the Irish Sea”, but he was keen to ensure that minimal checks were required on goods. “There are practical realities of trade, and we are trying to do that in a way that doesn’t undermine the constitutional integrity of the United Kingdom in a way that is threatening to unionism, but that can protect the concerns of both unionists and nationalists, neither of whom want a border re-emerging on the island of Ireland.”  He said he believed the DUP recognised that Northern Ireland was not the same “as Kent or a borough in London” and it had many differences from other parts of the UK.  The Daily Telegraph reported on Saturday that the “third option” for Northern Ireland would focus on extending the current regulatory checks on animals to other sectors. To protect the island of Ireland from outbreaks of disease, such as TB or mad cow disease, routine checks are done on livestock being imported from Britain, north and south of the border.  The DUP has accepted that these “sanitary checks” are in place but are opposed to extending this to non-agricultural goods.  Ireland’s taoiseach, Leo Varadkar, confirmed in Salzburg that the EU was reworking the backstop proposal to say that agriculture and phyto-sanitary checks would be the only physical controls that needed to take place between Northern Ireland and the rest of the UK.  In this scenario, customs declaration forms would be filed to tax authorities electronically, and the separate customs checks needed to prevent tax evasion and smuggling would continue.  It is argued that these checks are usually intelligence-led, based on tips-offs to the Police Service of Northern Ireland or Garda Síochána, and are part of the existing cooperation arrangements.",3,2018-09-23 23:33:02
1,77," Chas Hodges, of the musical duo Chas and Dave, has died at the age of 74. A statement on the pair’s Twitter account said: “It is with tremendous sadness that we announce the passing of our very own Chas Hodges.  “Despite receiving successful treatment for oesophageal cancer recently, Chas suffered organ failure and passed away peacefully in his sleep in the early hours of this morning.”    Chas And Dave  (@chas_dave)  It is with tremendous sadness that we announce the passing of our very own Chas Hodges. Despite receiving successful treatment for oesophageal cancer recently, Chas suffered organ failure and passed away peacefully in his sleep in the early hours of this morning. pic.twitter.com/bwxqfHUjUg   September 22, 2018    Tributes quickly poured in. The football club Tottenham Hotspur, whose players performed several songs with Hodges, tweeted:    Tottenham Hotspur  (@SpursOfficial)  Everyone at the Club is deeply saddened to hear of the passing of one of our own, Chas Hodges. Our thoughts are with his family and friends at this difficult time. pic.twitter.com/AMB7pWHUa4   September 22, 2018    Among the many songs Hodges recorded with the club, Tottenham, Tottenham, Hot Shot Tottenham and Ossie’s Dream were favourites among fans.  Sir Lenny Henry tweeted:    Lenny Henry  (@LennyHenry)  What a shame. When they were on Tiswas they were always kind,respectful and played live. RIP Chas. https://t.co/R85oEQFrnt   September 22, 2018    The deputy leader of the Labour party, Tom Watson, wrote:    Tom Watson  (@tom_watson)  This is very sad. Chas was a very accomplished musician who brought joy to many with his performances. And Chas and Dave’s songs are in the memories of millions. https://t.co/0XTAYDAM2J   September 22, 2018    The comedian Rob Beckett tweeted he was saddened by the death of Hodges, who, with Dave Peacock, “wrote the soundtrack to my childhood”. The Welsh music critic Simon Price tweeted : “I don’t know if I’ve ever had as much shameless fun at a gig as last time I saw Chas and Dave.”  Comedy writer and author Adam Kay tweeted : “Sad news. The very least we could do in Chas’ memory is make Ain’t No Pleasing You the new national anthem. Belting tune.” Radio DJ and TV presenter Iain Lee tweeted :    Iain Lee - talkRADIO  (@iainlee)  Absolutely gutted about @ChasnHodges passing. Was always a real gentleman to me and very generous with his time. Absolutely one of the best. Played piano at Eric Clapton's wedding. The other members of the spontaneous band? Paul McCartney, Ringo Starr and George Harrison   September 22, 2018    The musical duo were popular during the 1970s and 80s, known for their cockney take on rock’n’roll. They rose to fame with hits Rabbit, Gertcha, Snooker Loopy and Ain’t No Pleasing You. They split in 2009 when Peacock retired after the death of his wife, Sue, but reunited a year later.  In 2017, Hodges revealed he had been diagnosed with cancer of the oesophagus after he struggled to swallow a glass of water. He underwent chemotherapy and returned to performing last year, but was forced to cancel all gigs in August on doctor’s advice.  Before teaming up with Peacock in a musical partnership that lasted more than 40 years, Hodges was a member of the band called the Outlaws. Hodges also backed a string of famous musicians in the late 1950s and early 60s, including Jerry Lee Lewis, Gene Vincent and Bill Haley. He appeared as a special guest alongside the Beatles on their final British tour in 1966, as a member of Cliff Bennett and the Rebel Rousers.",3,2018-09-23 23:33:23
2,78,"T he official theme of this year’s UN general assembly is “ making the United Nations relevant to all people ” but everyone attending next week’s sprawling summit in New York knows that one person is more relevant than others.  Donald Trump is expected to dominate proceedings.  He will chair a meeting on drug trafficking on Monday, address the full assembly on Tuesday and then preside over a security council session on nuclear perils on Wednesday. No one doubts he will use those appearances to show disdain for diplomatic niceties for the benefit of his supporters and bang the drum of “America First”.  World leaders were braced for surprises when Trump made his UN debut last year, but he still managed to shock, using his speech to threaten to “totally destroy” North Korea. This time, his counterparts arrive in New York having had a year to work out how to manage their relations with him.  But that does not mean they can predict what he will do or say.  “Last year, there was a tremendous amount of uncertainty about what President Trump would be like – and what he would do and how to talk to him,” said Jon Alterman, a former senior state department official and now vice-president of the Centre for Strategic and International Studies.  “I think a lot of leaders actually stayed away last year because they were afraid of getting caught between not wanting to offend President Trump, but not wanting to do anything with him that would get them in trouble with the voters at home. I think people have sort of figured out how to deal with that. I think they’ve figured out how to deal with the president.”",3,2018-09-23 23:33:27
3,79,"Dawn Butler has spoken approvingly about Labour’s controversial former Militant wing, saying that when it came to austerity it was “better to break the law than break the poor”.  In the early 1980s, some Labour councillors deliberately set council budgets in excess of the limits imposed by central government.  The tactic was condemned at the 1985 party conference, where then leader Neil Kinnock denounced “the grotesque chaos of a Labour council – a Labour council – hiring taxis to scuttle round a city handing out redundancy notices to its own workers”.  His intervention was a key moment in the drive to break the far-left Militant group’s hold over parts of the party, which ended with the expulsion of figures including Liverpool council’s deputy leader Derek Hatton.",3,2018-09-23 23:33:30
4,80,"Drug producers are capitalising on the rise of vaping to sell a liquid form of “spice” – an illegal synthetic substance nicknamed “zombie” – to unwitting customers.  Suppliers of Kronic Juice, which is being shipped into the UK labelled as a harmless e-liquid, refuse to disclose the ingredients, referring only to a “patent pending flavour enhancer”. However, laboratory tests commissioned by the Observer found it to contain a strain of synthetic cannabis that was banned in 2016.  The same chemical, sprayed on to plant matter and smoked in cigarette papers, was one of the so-called “legal highs” that came to be known as the zombie drug.  The emergence of liquid spice is the latest chapter in a battle between law enforcement and manufacturers, which led to the introduction of a blanket ban under the Psychoactive Substances Act in 2016.  The new law removed spice from high-street shops, but the latest revelations have led to questions over what is being done to police the importation of the drug.  Users have said it is many times more potent than herbal cannabis and have reported suffering chest pains, seizures, memory loss and withdrawal. Some have bought Kronic Juice believing it to contain a legal dose of CBD, a non-psychoactive cannabis extract that is reported to have a wide range of health benefits, including easing symptoms of depression and arthritis.  Todd Renje believed he had bought CBD, which he had vaped for the past three years to self-medicate anxiety, having “decided against pharmaceuticals”. The 37-year-old from the United States said: “It was probably within two or three days that I found myself waking up the next morning and vaping a little before work, then taking it to work with me and vaping all day.  “It got to the point where I’m literally vaping this Kronic Juice every 20 or 30 minutes, and if I don’t I get very nauseous, I start shaking, I get sweaty. It went on for months because I was scared to stop.”  When he quit cold turkey, he said he suffered violent withdrawal symptoms. “I went from Friday, Saturday and Sunday with no sleep,” he said. “Vomiting, shaking, sweating, just feeling absolutely miserable. Then I had a seizure. I couldn’t even tell you what happened, I just woke up at hospital.”  Others, however, were aware it contained a psychoactive ingredient. One, who asked not to be named, said: “I really wanted to like it because it’s cheaper than weed and has plausible deniability.” The 20-year-old said he stopped vaping after it made him feel “confused and anxious”. He added: “It was not what I would call a high.”  In the absence of any information from the suppliers, users have taken to online forums to question the drug’s contents. But now tests reveal that Kronic Juice, bought from the company’s website and shipped to London, contains a class-B drug. Known formally as 5F-CUMYL-PINACA, it is illegal to possess, supply or manufacture in the UK.  The National Crime Agency said that it worked to “disrupt the online supply of drugs to the UK” but added that synthetic cannabis was not a “key priority”.  Shadow home secretary Diane Abbott said it illustrated how “the drugs problem is growing and becoming more varied”. She said that increasing the number of border guards was key to tackling drug importation.  Neil Woods, a former undercover police officer who now campaigns for a regulated drug market with the group Law Enforcement Against Prohibition, said the refusal to reveal its contents was “as despicable as you can get”. “But that’s going to happen with prohibition,” he added.  “The obvious answer is regulation. These people can get away with this because there is no regulation to control them.”  The company’s website, which had been operating since 2015, went offline last week, less than 24 hours after an email was sent detailing this newspaper’s finding. The company did not respond to requests for comment.",9,2018-09-23 23:33:37
5,81,"At least 29 people, including children, have been killed in a terrorist attack on a military parade in south-west Iran , responsibility for which has been claimed by both Islamic State and a separatist group.  Four assailants disguised as military personnel opened fire from behind the viewing platform during the parade in Ahvaz to mark the anniversary of the eight-year war with Iraq in the 1980s.  Members of Iran’s elite Revolutionary Guards and soldiers from the country’s army, as well as civilians, including children, were among the victims, news agencies reported.",3,2018-09-23 23:33:40
6,82,"Thousands of people marched to Whitehall on Saturday to demand the government invests in wildlife-friendly policies and swiftly reverses the decline of British ecosystems.  Protesters including Billy Bragg delivered a radical manifesto , co-edited by the broadcaster Chris Packham, to Downing Street. The manifesto called for an end to the “war on wildlife” following the decline of more than half of British species in recent decades.  The manifesto made a series of recommendations, including twinning primary schools with farms to help children understand how food is produced, banning driven grouse shooting, making it illegal to dredge for scallops and stopping Scottish seal culling.  “It’s time to wake up,” said Packham. “We are presiding over an ecological apocalypse and precipitating a mass extinction in our own backyard. But – vitally – it is not too late. There is hope we can hold to, and there is action we can take.”    Chris Packham  (@ChrisGPackham)  Delivering the first draft of the People's Manifesto for Wildlife to Number 10, with the next generation. #PeoplesWalkForWildlife  pic.twitter.com/AgZE1IPirq   September 22, 2018    In what organisers called a natural revolution, the People’s Walk for Wildlife began in Hyde Park under light showers as Bragg, Grace Petrie and others entertained the crowd with songs addressing environmental issues.  “Its hard to ignore the politics of the environment given the way that the climate is changing,” said Bragg, the singer and activist, describing how storms on the coast where he lived had noticeably intensified during his life. “We need genuine green policies at the forefront [of political debate], and a bit of people pressure on that is quite positive.”  As the rain began to ease, the demonstrators – some of whom were dressed as foxes, doves and badgers – departed for Westminster to the tune of digital birdsong reverberating through the streets of London from hundreds of smartphones.",3,2018-09-23 23:33:43
7,83,A lawyer for the woman who has accused supreme court nominee Brett Kavanaugh of sexual assault has said she is ready to testify to the Senate next week – but still wants to negotiate terms of her testimony.,3,2018-09-23 23:33:51
8,84,"NHS England is to be taken to court by the UK’s equality watchdog for failing to offer fertility services to transgender patients.  The Equality and Human Rights Commission will launch a high-profile judicial review action, a legal manoeuvre that is likely to prove controversial at a time when the NHS is struggling to balance budgets and provide core services.  Last month the Observer reported that the commission had written to NHS England putting it on notice that it needed to offer fertility services to transgender patients before they underwent treatment for gender dysphoria, a process that normally results in a loss of fertility.  By extracting and storing eggs and sperm before they undergo gender reassignment, transgender people can choose to have their biological children delivered via surrogates later in life. However, many are keen to proceed with treatment when they are teenagers, and may not have the resources to pay for such fertility services. This, the commission argues, discriminates against transgender people, whom it says should be offered the services as a standard procedure.  NHS England maintains that it is not its responsibility to ensure that fertility treatment is available to all patients, including transgender people. Currently it falls to individual clinical commissioning groups – the bodies that buy services for patients – to decide whether to provide them on the NHS, but many choose not to do so for transgender patients, according to the commission.  After receiving NHS England’s response , the commission has said it will now start legal proceedings. It is understood that NHS England continues to argue that it is under no obligation to offer the service at a national level.  “We have received a comprehensive response from NHS England to our letter regarding the provision of fertility services for transgender patients before they undergo treatment for gender dysphoria,” said Rebecca Hilsenrath, chief executive of the commission.  “We are proceeding with our judicial review claim and will remain in discussions with NHS England about the need to ensure the transgender community can access health services free from discrimination, and that individuals do not have to choose between treatment for gender dysphoria and the chance to start a family.”  The commission argues that gender dysphoria falls within NHS England’s specialised commissioning remit, which ensures appropriate treatment is given to those with complex conditions.  The legal case is likely to shine a light on how a large increase in people requesting transitioning treatment is placing greater demands on the health service.  Penny Mordaunt, minister for women and equalities, has launched an inquiry into what has driven a 4,400% increase in the number of girls being referred for transitioning treatment in the past decade. In 2009, 40 girls were referred by doctors for gender treatment. Last year the number had risen to 1,806.  The role of social media and the teaching of transgender issues in schools will form part of the inquiry.  A spokeswoman for NHS England said: “NHS England has responded in detail to the EHRC explaining why we believe their request is both misjudged and potentially unfair to NHS patients. If, however, they still decide to sue the NHS, the courts will consider the matter in the usual way.”",3,2018-09-23 23:33:54
9,85,"A rower has been rescued off the coast of Land’s End after attempting a solo trip across the Atlantic in a homemade boat.  Duncan Hutchison set off from New York in May on his 3,500-mile journey to Lochinver, north-west Scotland. He was carrying out the journey in a 23ft wooden rowing boat and has raised more than £18,000 for the charity WaterAid .  Hutchison was rescued 863 miles off the Cornish coast on Saturday by a merchant tanker that is now taking him back to New York.  A post on his Facebook page said: “He will be devastated, especially with a technical problem rather than a physical or structural issue of the boat.  “Although he’s totally dedicated to completing the challenge, today marked 100 days at sea. He’s acted responsibly in the best interests of support services, surrounding boats and himself. Calling this in was probably the toughest thing Duncan’s ever had to do, but is testament to his selfless and professional approach throughout the journey.”  The Maritime and Coastguard Agency said Hutchison reported that he was in difficulties at about 1am and was “battling 2.5-metre waves”.  A spokesman said: “HM Coastguard broadcast alerts to vessels in the area and the man was picked up by a merchant tanker who diverted to the scene. His 23ft wooden rowing boat is now being towed by that vessel.”  Duty commander Mark Rodaway said Hutchison had been picked up and was safe and well. He said: “We’ll continue to keep in touch with him via the tanker crew while they progress their passage back towards New York. We’re grateful to the tanker for responding and rescuing this rower.”",3,2018-09-23 23:33:57
